"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Previous Malaria Infection]"	"Term Source REF"	"Term Accession Number"
"2588864"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_163"	"VT_150411_163.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"163"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588864"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_165"	"VT_150411_165.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"165"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588864"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_167"	"VT_150411_167.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"167"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588885"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_169"	"VT_150411_169.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"169"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588885"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_171"	"VT_150411_171.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"171"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588885"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_173"	"VT_150411_173.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"173"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588892"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_175"	"VT_150411_175.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"175"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588892"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_177"	"VT_150411_177.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"177"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588892"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_179"	"VT_150411_179.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"179"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588873"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_181"	"VT_150411_181.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"181"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588873"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_183"	"VT_150411_183.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"183"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588873"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_185"	"VT_150411_185.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"185"	""	""	"3 weeks"	""	""	"Semi-immune"	""	""
"2588859"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_187"	"VT_150411_187.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"187"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588859"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_189"	"VT_150411_189.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"189"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588859"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_191"	"VT_150411_191.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"191"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588866"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_193"	"VT_150411_193.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"193"	""	""	"4 months"	""	""	"Naive"	""	""
"2588866"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_195"	"VT_150411_195.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"195"	""	""	"4 months"	""	""	"Naive"	""	""
"2588866"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_197"	"VT_150411_197.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"197"	""	""	"4 months"	""	""	"Naive"	""	""
"2588888"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_199"	"VT_150411_199.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"199"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588888"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_201"	"VT_150411_201.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"201"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588888"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_203"	"VT_150411_203.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"203"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"q3June2014_1b"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_205"	"VT_150411_205.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"205"	""	""	"N/A"	""	""	"N/A"	""	""
"q3June2014_1b"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_207"	"VT_150411_207.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"207"	""	""	"N/A"	""	""	"N/A"	""	""
"q3June2014_1b"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150411_209"	"VT_150411_209.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"1"	""	""	"209"	""	""	"N/A"	""	""	"N/A"	""	""
"q3June2014_2a"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_001"	"VT_150821_001.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"211"	""	""	"N/A"	""	""	"N/A"	""	""
"q3June2014_2a"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_003"	"VT_150821_003.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"213"	""	""	"N/A"	""	""	"N/A"	""	""
"q3June2014_2a"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_005"	"VT_150821_005.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"215"	""	""	"N/A"	""	""	"N/A"	""	""
"2588852"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_007"	"VT_150821_007.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"217"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588852"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_009"	"VT_150821_009.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"219"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588852"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_011"	"VT_150821_011.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"221"	""	""	"Diagnosis"	""	""	"Naive"	""	""
"2588869"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_013"	"VT_150821_013.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"223"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588869"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_015"	"VT_150821_015.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"225"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588869"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_017"	"VT_150821_017.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"227"	""	""	"3 weeks"	""	""	"Naive"	""	""
"2588844"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_019"	"VT_150821_019.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"229"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588844"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_021"	"VT_150821_021.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"231"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588844"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_023"	"VT_150821_023.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"233"	""	""	"Diagnosis"	""	""	"Semi-immune"	""	""
"2588851"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_025"	"VT_150821_025.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"235"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588851"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_027"	"VT_150821_027.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"237"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588851"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_029"	"VT_150821_029.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"239"	""	""	"Baseline"	""	""	"Naive"	""	""
"2588870"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_031"	"VT_150821_031.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"241"	""	""	"4 months"	""	""	"Naive"	""	""
"2588870"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"Accucore HILIC (2.6 µm, 2.1 mm x 50 mm; Thermo Scientific)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive HF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"VT_150821_033"	"VT_150821_033.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_huc_hilicpos.tsv"	"2"	""	""	"243"	""	""	"4 months"	""	""	"Naive"	""	""
