"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MP2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP2_30m"	"MP2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP3_30m"	"MP3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK1_30m"	"PK1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK2_30m"	"PK2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PK3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"PK3_30m"	"PK3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC1_30m"	"SC1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC2_30m"	"SC2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SC3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"SC3_30m"	"SC3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD1_30m"	"TD1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD2_30m"	"TD2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"TD3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"TD3_30m"	"TD3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC1_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC1_30m"	"QC1_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC2_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC2_30m"	"QC2_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC3_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC3_30m"	"QC3_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC4_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC4_30m"	"QC4_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC5_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC5_30m"	"QC5_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC6_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC6_30m"	"QC6_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC7_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC7_30m"	"QC7_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"QC8_30m"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"QC8_30m"	"QC8_30m.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
