"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_systematicName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype_commonName]"	"Term Source REF"	"Term Accession Number"	"Factor Value[analysis_time]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sample_type]"	"Term Source REF"	"Term Accession Number"
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"09_BLANK_18"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377223650"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_D_7"	"9"	""	""	"YDR521W"	""	""	"NA"	""	""	"1377223883"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_C_11"	"9"	""	""	"YGR183C"	""	""	"QCR9"	""	""	"1377224583"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_F_11"	"9"	""	""	"YGL252C"	""	""	"RTG2"	""	""	"1377225047"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_G_4"	"9"	""	""	"YFR025C"	""	""	"HIS2"	""	""	"1377225745"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_4"	"9"	""	""	"YMR053C"	""	""	"STB2"	""	""	"1377225979"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_G_10"	"9"	""	""	"YDL062W"	""	""	"NA"	""	""	"1377226211"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_7"	"9"	""	""	"YLL006W"	""	""	"MMM1"	""	""	"1377226443"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD5_09"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377226675"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD3_09"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377226908"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD1_09"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377227138"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_D_11"	"9"	""	""	"YMR038C"	""	""	"CCS1"	""	""	"1377227372"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_12"	"9"	""	""	"YGR254W"	""	""	"ENO1"	""	""	"1377228302"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_7"	"9"	""	""	"YMR056C"	""	""	"AAC1"	""	""	"1377228533"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_3"	"9"	""	""	"YFL004W"	""	""	"VTC2"	""	""	"1377228766"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_9"	"9"	""	""	"YFL033C"	""	""	"RIM15"	""	""	"1377228996"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_C_10"	"9"	""	""	"YIL056W"	""	""	"VHR1"	""	""	"1377229229"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_2"	"9"	""	""	"YMR052C-A"	""	""	"NA"	""	""	"1377229462"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_150"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377230160"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"09_BLANK_19"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377230392"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_E_12"	"9"	""	""	"YPL132W"	""	""	"COX11"	""	""	"1377230623"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_1"	"9"	""	""	"YFL001W"	""	""	"DEG1"	""	""	"1377230855"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_H_10"	"9"	""	""	"YBR020W"	""	""	"GAL1"	""	""	"1377231087"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_3"	"9"	""	""	"YMR052W"	""	""	"FAR3"	""	""	"1377231319"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_A_1"	"9"	""	""	"YER175C"	""	""	"TMT1"	""	""	"1377232249"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_G_11"	"9"	""	""	"YDL063C"	""	""	"SYO1"	""	""	"1377232482"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_H_5"	"9"	""	""	"YGR273C"	""	""	"NA"	""	""	"1377232946"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_5"	"9"	""	""	"YMR054W"	""	""	"STV1"	""	""	"1377233180"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD6_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377233413"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD4_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377233644"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD2_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377233876"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_D_10"	"9"	""	""	"YKL101W"	""	""	"HSL1"	""	""	"1377234574"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_F_4"	"9"	""	""	"YDR326C"	""	""	"YSP2"	""	""	"1377234806"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_B_8"	"9"	""	""	"YPL173W"	""	""	"MRPL40"	""	""	"1377235040"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_F_11"	"9"	""	""	"YDR515W"	""	""	"SLF1"	""	""	"1377235272"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_B_2"	"9"	""	""	"YMR184W"	""	""	"ADD37"	""	""	"1377235738"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_4"	"9"	""	""	"YFL007W"	""	""	"BLM10"	""	""	"1377235970"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_F_2"	"9"	""	""	"YJL102W"	""	""	"MEF2"	""	""	"1377236202"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_F_9"	"9"	""	""	"YBL106C"	""	""	"SRO77"	""	""	"1377236434"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_D_6"	"9"	""	""	"YDR483W"	""	""	"KRE2"	""	""	"1377236667"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_151"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377236899"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"09_BLANK_20"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377237131"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_F_9"	"9"	""	""	"YDR502C"	""	""	"SAM2"	""	""	"1377237365"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_H_1"	"9"	""	""	"YGR258C"	""	""	"RAD2"	""	""	"1377238528"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_E_11"	"9"	""	""	"YCL038C"	""	""	"ATG22"	""	""	"1377238760"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_H_4"	"9"	""	""	"YDR523C"	""	""	"SPS1"	""	""	"1377238994"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_D_3"	"9"	""	""	"YDL074C"	""	""	"BRE1"	""	""	"1377239225"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_E_10"	"9"	""	""	"YOL086C"	""	""	"ADH1"	""	""	"1377239692"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_A_6"	"9"	""	""	"YER180C"	""	""	"ISC10"	""	""	"1377239924"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD5_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377240156"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD3_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377240390"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD1_10"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377240621"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_5"	"9"	""	""	"YFL010C"	""	""	"WWM1"	""	""	"1377240853"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_C_8"	"9"	""	""	"YIL158W"	""	""	"AIM20"	""	""	"1377241084"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_B_5"	"9"	""	""	"YOL033W"	""	""	"MSE1"	""	""	"1377241317"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_H_6"	"9"	""	""	"YGR276C"	""	""	"RNH70"	""	""	"1377241550"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_A_9"	"9"	""	""	"YER183C"	""	""	"FAU1"	""	""	"1377241782"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_2"	"9"	""	""	"YFL003C"	""	""	"MSH4"	""	""	"1377242246"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_A_2"	"9"	""	""	"YER176W"	""	""	"ECM32"	""	""	"1377242480"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_H_7"	"9"	""	""	"YGR289C"	""	""	"MAL11"	""	""	"1377242944"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_B_8"	"9"	""	""	"YMR057C"	""	""	"NA"	""	""	"1377243175"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_F_2"	"9"	""	""	"YCR107W"	""	""	"AAD3"	""	""	"1377243407"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"QC_152"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377243639"	""	""	"Sample"	""	""
"solvent blank sample"	"blank"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"Sample collection"	"09_BLANK_21"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377243870"	""	""	"Blank"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_G_12"	"9"	""	""	"YDL068W"	""	""	"NA"	""	""	"1377244336"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_C_4"	"9"	""	""	"YIL111W"	""	""	"COX5B"	""	""	"1377245033"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_E_4"	"9"	""	""	"YER016W"	""	""	"BIM1"	""	""	"1377245265"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_B_12"	"9"	""	""	"YDR069C"	""	""	"DOA4"	""	""	"1377245497"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_G_6"	"9"	""	""	"YFL010W-A"	""	""	"AUA1"	""	""	"1377245729"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_H_1"	"9"	""	""	"YDL081C"	""	""	"RPP1A"	""	""	"1377245961"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_C_6"	"9"	""	""	"YIL131C"	""	""	"FKH1"	""	""	"1377246194"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_D_3"	"9"	""	""	"YHR011W"	""	""	"DIA4"	""	""	"1377246426"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"50_A_3"	"9"	""	""	"YER177W"	""	""	"BMH1"	""	""	"1377246658"	""	""	"Sample"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD6_11"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377246892"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD4_11"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377247124"	""	""	"Calibration standard"	""	""
"Standard sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"09_STD2_11"	"9"	""	""	"NA"	""	""	"NA"	""	""	"1377247356"	""	""	"Calibration standard"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_D_7"	"9"	""	""	"YLR203C"	""	""	"MSS51"	""	""	"1377247588"	""	""	"Sample"	""	""
"Mutant strain from prototrophic deletion collection"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_C_12"	"9"	""	""	"YGR215W"	""	""	"RSM27"	""	""	"1377247822"	""	""	"Sample"	""	""
