"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006055_NEG"	"211"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006085_NEG"	"212"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006115_NEG"	"213"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_033_NEG"	"214"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006026_NEG"	"215"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006056_NEG"	"216"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006086_NEG"	"217"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006116_NEG"	"218"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006057_NEG"	"219"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006087_NEG"	"220"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006117_NEG"	"221"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006028_NEG"	"222"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006058_NEG"	"223"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_034_NEG"	"224"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006088_NEG"	"225"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006118_NEG"	"226"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006029_NEG"	"227"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006089_NEG"	"228"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006119_NEG"	"229"	""	""	"2"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006030_NEG"	"230"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006090_NEG"	"231"	""	""	"2"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006120_NEG"	"232"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_035_NEG"	"233"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_036_NEG"	"234"	""	""	"2"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_037_NEG"	"235"	""	""	"2"	""	""
