"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A39 junction S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A39 junction S4"	"A39 junction S4-profile.ibd"	"A39 junction S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A39 Junction - 2013-07-17 16.27.09.ndpi"	""	""	"A39 jcn S4.jpg"	""	""	"Data transformation"	""	"A39 junction S4-profile.imzML"	"A39 junction S4-centroid.imzML"	"Metabolite identification"	""	""
"A42 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A42 10cm S3"	"A42 10cm S3-profile.ibd"	"A42 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A42 10CM 3 TOP - 2014-07-10 12.04.13.ndpi"	""	""	"A42 10cm S3.jpg"	""	""	"Data transformation"	""	"A42 10cm S3-profile.imzML"	"A42 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A42 5cm"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A42 5cm"	"A42 5cm S3-profile.ibd"	"A42 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A42 5CM 3 BOTTOM - 2014-10-30 16.40.12.ndpi"	""	""	""	""	""	"Data transformation"	""	"A42 5cm S3-profile.imzML"	"A42 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A42 CT S1"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A42 CT S1"	"A42 CT S1-profile.ibd"	"A42 CT S1-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A42 CENTRE (1) - 2014-05-27 17.01.31.ndpi"	""	""	"A42 CT S1.jpg"	""	""	"Data transformation"	""	"A42 CT S1-profile.imzML"	"A42 CT S1-centroid.imzML"	"Metabolite identification"	""	""
"A42 CT S10"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A42 CT S10"	"A42 CT S10-profile.ibd"	"A42 CT S10-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A42C10 - 2012-08-06 18.16.26.ndpi"	""	""	"A42 CT S10.jpg"	""	""	"Data transformation"	""	"A42 CT S10-profile.imzML"	"A42 CT S10-centroid.imzML"	"Metabolite identification"	""	""
"A43 10cm S8"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A43 10cm S8"	"A43 10cm S8-profile.ibd"	"A43 10cm S8-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A44 10CM A43 10CM - 2014-05-27 16.24.11.ndpi"	""	""	"A43 10cm S8.jpg"	""	""	"Data transformation"	""	"A43 10cm S8-profile.imzML"	"A43 10cm S8-centroid.imzML"	"Metabolite identification"	""	""
"A43 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A43 CT S4"	"A43 CT S4-profile.ibd"	"A43 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A43 centre (4) - 2013-07-17 14.03.43.ndpi"	""	""	"A43 CT S4.jpg"	""	""	"Data transformation"	""	"A43 CT S4-profile.imzML"	"A43 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A43 CT S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A43 CT S5"	"A43 CT S5-profile.ibd"	"A43 CT S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A43 Centre (5) - 2013-07-17 13.57.20.ndpi"	""	""	"A43 CT S5.jpg"	""	""	"Data transformation"	""	"A43 CT S5-profile.imzML"	"A43 CT S5-centroid.imzML"	"Metabolite identification"	""	""
"A44 10cm S8"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A44 10cm S8"	"A44 10cm S8-profile.ibd"	"A44 10cm S8-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	""	""	""	"A44 10cm S8.jpg"	""	""	"Data transformation"	""	"A44 10cm S8-profile.imzML"	"A44 10cm S8-centroid.imzML"	"Metabolite identification"	""	""
"A44 junction S6"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A44 junction S6"	"A44 junction S6-profile.ibd"	"A44 junction S6-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A44 JUNCTION (6) - 2014-05-27 16.18.53.ndpi"	""	""	"A44 jcn S6.jpg"	""	""	"Data transformation"	""	"A44 junction S6-profile.imzML"	"A44 junction S6-centroid.imzML"	"Metabolite identification"	""	""
"A45 10cm S1"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A45 10cm S1"	"A45 10cm S1-profile.ibd"	"A45 10cm S1-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A45 10cm - 2013-07-17 17.56.01.ndpi"	""	""	"A45 10cm S1.jpg"	""	""	"Data transformation"	""	"A45 10cm S1-profile.imzML"	"A45 10cm S1-centroid.imzML"	"Metabolite identification"	""	""
"A45 junction S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A45 junction S5"	"A45 junction S5-profile.ibd"	"A45 junction S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A45 JUNCTION (5) - 2014-05-27 16.13.15.ndpi"	""	""	"A45 jcn S5.jpg"	""	""	"Data transformation"	""	"A45 junction S5-profile.imzML"	"A45 junction S5-centroid.imzML"	"Metabolite identification"	""	""
"A46 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A46 CT S4"	"A46 CT S4-profile.ibd"	"A46 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A46C4 - 2012-08-06 18.09.31.ndpi"	""	""	"A46 centre.jpg"	""	""	"Data transformation"	""	"A46 CT S4-profile.imzML"	"A46 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A47 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A47 CT S2"	"A47 CT S2-profile.ibd"	"A47 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A47 CT 2 - 2014-12-09 22.14.50.ndpi"	""	""	"A47 CT S2_n.JPG"	""	""	"Data transformation"	""	"A47 CT S2-profile.imzML"	"A47 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A49 10cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A49 10cm S4"	"A49 10cm S4-profile.ibd"	"A49 10cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A49 10cm - 2013-07-17 16.08.09.ndpi"	""	""	"A49 10cm S4.jpg"	""	""	"Data transformation"	""	"A49 10cm S4-profile.imzML"	"A49 10cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A49 5cm S5"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A49 5cm S5"	"A49 5cm S5-profile.ibd"	"A49 5cm S5-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A49 5CM 5 - 2014-07-10 12.56.58.ndpi"	""	""	"A49 5cm S5.jpg"	""	""	"Data transformation"	""	"A49 5cm S5-profile.imzML"	"A49 5cm S5-centroid.imzML"	"Metabolite identification"	""	""
"A49 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A49 CT S4"	"A49 CT S4-profile.ibd"	"A49 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A49 CT S4 TOP - 2014-07-10 12.16.07.ndpi"	""	""	"A49 CT S4 copy.jpg"	""	""	"Data transformation"	""	"A49 CT S4-profile.imzML"	"A49 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A49 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A49 CT S4"	""	""	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A49 CT S4 TOP - 2014-07-10 12.16.07 copy.ndpi"	""	""	"A49 CT S4.jpg"	""	""	"Data transformation"	""	""	"A49 CT S4-copy-centroid.imzML"	"Metabolite identification"	""	""
"A50 jcn S7"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A50 jcn S7"	"A 50 jcn S7-profile.ibd"	"A 50 jcn S7-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A50 jcn s7 - 2013-07-17 14.30.38.ndpi"	""	""	"A50 jcn S7.jpg"	""	""	"Data transformation"	""	"A 50 jcn S7-profile.imzML"	"A 50 jcn S7-centroid.imzML"	"Metabolite identification"	""	""
"A50 jcn S8"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A50 jcn S8"	"A50 jcn S8-profile.ibd"	"A50 jcn S8-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A50 Jcn s8 - 2013-07-17 13.29.24.ndpi"	""	""	"A50 jcn S8.jpg"	""	""	"Data transformation"	""	"A50 jcn S8-profile.imzML"	"A50 jcn S8-centroid.imzML"	"Metabolite identification"	""	""
"A51 10cm S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A51 10cm S3"	"A51 10cm S3-profile.ibd"	"A51 10cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A51 10CM 3 - 2014-07-10 11.48.05.ndpi"	""	""	"A51 10cm S3.jpg"	""	""	"Data transformation"	""	"A51 10cm S3-profile.imzML"	"A51 10cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A51 5cm"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A51 5cm"	"A51 5cm S3-profile.ibd"	"A51 5cm S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A51 5CM 3 - 2014-10-30 16.34.40.ndpi"	""	""	""	""	""	"Data transformation"	""	"A51 5cm S3-profile.imzML"	"A51 5cm S3-centroid.imzML"	"Metabolite identification"	""	""
"A51 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A51 CT S3"	"A51 CT S3-profile.ibd"	"A51 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A51 CENTRE (3) - 2014-05-27 16.52.44.ndpi"	""	""	""	""	""	"Data transformation"	""	"A51 CT S3-profile.imzML"	"A51 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A52 5cm S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A52 5cm S4"	"A52 5cm S4-profile.ibd"	"A52 5cm S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A52 5CM 20.06.13 (4) - 2014-05-27 16.33.21.ndpi"	""	""	"A52 5cm S4.jpg"	""	""	"Data transformation"	""	"A52 5cm S4-profile.imzML"	"A52 5cm S4-centroid.imzML"	"Metabolite identification"	""	""
"A52 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A52 CT S3"	"A52 CT S3-profile.ibd"	"A52 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A52 CENTRE 3 - 2014-12-09 22.55.52.ndpi"	""	""	"A52 CT S3.jpg"	""	""	"Data transformation"	""	"A52 CT S3-profile.imzML"	"A52 CT S3-centroid.imzML"	"Metabolite identification"	""	""
"A53 CT S2"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A53 CT S2"	"A53 CT S2-profile.ibd"	"A53 CT S2-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A53 CENTRE 2 - 2014-12-09 22.37.44.ndpi"	""	""	"A53 centre S2 90um.jpg"	""	""	"Data transformation"	""	"A53 CT S2-profile.imzML"	"A53 CT S2-centroid.imzML"	"Metabolite identification"	""	""
"A53 CT S4"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A53 CT S4"	"A53 CT S4-profile.ibd"	"A53 CT S4-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"A53C4 - 2012-08-07 09.42.47.ndpi"	""	""	"A53 CT S4.jpg"	""	""	"Data transformation"	""	"A53 CT S4-profile.imzML"	"A53 CT S4-centroid.imzML"	"Metabolite identification"	""	""
"A54 CT S3"	"Preparation"	""	""	""	"Flash frozen"	""	""	"Thermo Scientific Shandon Cryotome"	""	""	""	""	"Mass spectrometry"	"negative"	"600–1000"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	""	"A54 CT S3"	"A54 CT S3-profile.ibd"	"A54 CT S3-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"NICOLE A54 CENTRE 3 - 2014-12-09 22.58.41.ndpi"	""	""	"A54 CT S3.jpg"	""	""	"Data transformation"	""	"A54 CT S3-profile.imzML"	"A54 CT S3-centroid.imzML"	"Metabolite identification"	""	""
