"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Ionisation]"	"Term Source REF"	"Term Accession Number"
"FAL-mix_C20-TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FAL-mix_C20-TMS"	"FAL-mix_C20-TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FAL-mix_C21-TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FAL-mix_C21-TMS"	"FAL-mix_C21-TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FAL-mix_C22-TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FAL-mix_C22-TMS"	"FAL-mix_C22-TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FAL-mix_C23-TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FAL-mix_C23-TMS"	"FAL-mix_C23-TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FAL-mix_C24-TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FAL-mix_C24-TMS"	"FAL-mix_C24-TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Ferulic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ferulic acid"	"Ferulic acid FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FFA-mix_C16-0_TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FFA-mix_C16-0_TMS"	"FFA-mix_C16-0_TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FFA-mix_C16-1_TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FFA-mix_C16-1_TMS"	"FFA-mix_C16-1_TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FFA-mix_C18-0_TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FFA-mix_C18-0_TMS"	"FFA-mix_C18-0_TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"FFA-mix_C18-1_TMS"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"FFA-mix_C18-1_TMS"	"FFA-mix_C18-1_TMS_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fructose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fructose"	"Fructose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fructose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fructose  byproduct peak"	"Fructose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fructose 6 Phosphate"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fructose 6 Phosphate"	"Fructose 6 Phosphate.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fucose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fucose"	"Fucose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fucose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fucose byproduct peak"	"Fucose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fucosterol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fucosterol"	"Fucosterol_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Fumaric acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Fumaric acid"	"Fumaric acid_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"GABA"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"GABA"	"GABA_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactinol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactinol"	"Galactinol FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactitol"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactitol"	"Galactitol FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactono 1-4 lactone"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactono 1-4 lactone"	"Galactono 1-4 lactone FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactosamine"	"Galactosamine FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactosamine byproduct peak"	"Galactosamine_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactosamine byproduct peak2"	"Galactosamine_3 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactosamine byproduct peak3"	"Galactosamine_4 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactose"	"Galactose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galactose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galactose byproduct peak"	"Galactose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galacturonic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galacturonic acid"	"Galacturonic acid FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galacturonic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galacturonic acid byproduct peak"	"Galacturonic acid_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Galic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Galic acid"	"Galic acid FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucoheptose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucoheptose"	"Glucoheptose FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucoheptose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucoheptose byproduct peak"	"Glucoheptose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Gluconic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Gluconic acid"	"Gluconic acid FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Gluconic acid"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Gluconic acid byproduct peak"	"Gluconic acid_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucosamine"	"Glucosamine FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucosamine"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucosamine byproduct peak"	"Glucosamine_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucose 6 phosphate"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucose 6 phosphate"	"Glucose 6 phosphate_FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
"Glucose"	"Extraction"	"Lyophilized"	"methoximation and sylilation"	"no extraction"	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	"Nothing"	"Nothing"	""	""	"Mass spectrometry"	"positive"	"10-1600"	"JEOL AccuTOF GCv"	""	""	"field ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000258"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Glucose byproduct peak"	"Glucose_2 FI.jpf"	"Data transformation"	"none"	""	"Metabolite identification"	"None"	"m_FI-MS_spectra_database_v2_maf.tsv"	"Field Ionization"	""	""
