MS_METABOLITE_DATA_START	
Samples	01_UK49	02_UK49	03_UK49	04_UK49	31_UK49	32_UK49	33_UK49	34_UK49	
GTP-13C6[-H+]-	indirectly to standard	GTP	528.00351	C10H16N5O14P3	13C6	13C	44.03	
Gulonic and Galactonic and Gluconic acid-13C0[-H+]-	database	Gulonic and Galactonic and Gluconic acid	195.05103	C6H12O7	13C0	13C	6.75	
Gulonic and Galactonic and Gluconic acid-13C1[-H+]-	database	Gulonic and Galactonic and Gluconic acid	196.05438	C6H12O7	13C1	13C	6.7	
Gulonic and Galactonic and Gluconic acid-13C2[-H+]-	database	Gulonic and Galactonic and Gluconic acid	197.05774	C6H12O7	13C2	13C	6.75	
Gulonic and Galactonic and Gluconic acid-13C3[-H+]-	database	Gulonic and Galactonic and Gluconic acid	198.06109	C6H12O7	13C3	13C	6.7	
Gulonic and Galactonic and Gluconic acid-13C4[-H+]-	database	Gulonic and Galactonic and Gluconic acid	199.06445	C6H12O7	13C4	13C	6.7	
Gulonic and Galactonic and Gluconic acid-13C5[-H+]-	database	Gulonic and Galactonic and Gluconic acid	200.0678	C6H12O7	13C5	13C	6.75	
Gulonic and Galactonic and Gluconic acid-13C6[-H+]-	database	Gulonic and Galactonic and Gluconic acid	201.07116	C6H12O7	13C6	13C	6.75	
Hexoses-13C0[-H+]-	directly to standard	Hexoses	179.05611	C6H12O6	13C0	13C	2.2	
Hexoses-13C1[-H+]-	indirectly to standard	Hexoses	180.05946	C6H12O6	13C1	13C	2.24	
Hexoses-13C2[-H+]-	indirectly to standard	Hexoses	181.06282	C6H12O6	13C2	13C	2.27	
Hexoses-13C5[-H+]-	indirectly to standard	Hexoses	184.07288	C6H12O6	13C5	13C	2.27	
Hexoses-13C6[-H+]-	indirectly to standard	Hexoses	185.07624	C6H12O6	13C6	13C	2.53	
IMP-13C0[-H+]-	directly to standard	IMP	347.03982	C10H13N4O8P	13C0	13C	34.6	
IMP-13C5[-H+]-	indirectly to standard	IMP	352.05659	C10H13N4O8P	13C5	13C	34.6	
Isocitrate-13C0[-H+]-	directly to standard	Isocitrate	191.01973	C6H8O7	13C0	13C	29.01	
Isocitrate-13C1[-H+]-	indirectly to standard	Isocitrate	192.02308	C6H8O7	13C1	13C	29.01	
Isocitrate-13C2[-H+]-	indirectly to standard	Isocitrate	193.02644	C6H8O7	13C2	13C	29.01	
Itaconic acid-13C0[-H+]-	directly to standard	Itaconic acid	129.01933	C5H6O4	13C0	13C	17.88	
Itaconic acid-13C0[-H+]-	directly to standard	Itaconic acid	129.01933	C5H6O4	13C0	13C	16.32	
Itaconic acid-13C1[-H+]-	indirectly to standard	Itaconic acid	130.02268	C5H6O4	13C1	13C	17.88	
Itaconic acid-13C4[-H+]-	indirectly to standard	Itaconic acid	133.03275	C5H6O4	13C4	13C	16.32	
Itaconic acid-13C5[-H+]-	indirectly to standard	Itaconic acid	134.0361	C5H6O4	13C5	13C	17.88	
Lactate-13C0[-H+]-	directly to standard	Lactate	89.02442	C3H6O3	13C0	13C	7.05	
Lactate-13C1[-H+]-	indirectly to standard	Lactate	90.02777	C3H6O3	13C1	13C	7.05	
Lactate-13C2[-H+]-	indirectly to standard	Lactate	91.03113	C3H6O3	13C2	13C	6.99	
Lactate-13C3[-H+]-	indirectly to standard	Lactate	92.03448	C3H6O3	13C3	13C	7.05	
L-Aspartic acid-13C0[-H+]-	directly to standard	L-Aspartic acid	132.03023	C4H7N1O4	13C0	13C	15.46	
L-Aspartic acid-13C1[-H+]-	indirectly to standard	L-Aspartic acid	133.03358	C4H7N1O4	13C1	13C	15.44	
L-Aspartic acid-13C2[-H+]-	indirectly to standard	L-Aspartic acid	134.03694	C4H7N1O4	13C2	13C	15.5	
L-Aspartic acid-13C3[-H+]-	indirectly to standard	L-Aspartic acid	135.04029	C4H7N1O4	13C3	13C	15.46	
L-Aspartic acid-13C4[-H+]-	indirectly to standard	L-Aspartic acid	136.04365	C4H7N1O4	13C4	13C	15.3	
L-Glutamic-13C0[-H+]-	directly to standard	L-Glutamic	146.04588	C5H9N1O4	13C0	13C	18.18	
L-Glutamic-13C1[-H+]-	indirectly to standard	L-Glutamic	147.04923	C5H9N1O4	13C1	13C	18.23	
L-Glutamic-13C2[-H+]-	indirectly to standard	L-Glutamic	148.05259	C5H9N1O4	13C2	13C	18.23	
L-Glutamic-13C3[-H+]-	indirectly to standard	L-Glutamic	149.05594	C5H9N1O4	13C3	13C	18.23	
L-Glutamic-13C4[-H+]-	indirectly to standard	L-Glutamic	150.0593	C5H9N1O4	13C4	13C	18.16	
L-Glutamic-13C5[-H+]-	indirectly to standard	L-Glutamic	151.06265	C5H9N1O4	13C5	13C	18.21	
L-Xylonate-13C0[-H+]-	database	L-Xylonate	165.04046	C5H10O6	13C0	13C	6.77	
L-Xylonate-13C0[-H+]-	database	L-Xylonate	165.04046	C5H10O6	13C0	13C	16.32	
L-Xylonate-13C1[-H+]-	database	L-Xylonate	166.04381	C5H10O6	13C1	13C	6.79	
L-Xylonate-13C1[-H+]-	database	L-Xylonate	166.04381	C5H10O6	13C1	13C	16.32	
L-Xylonate-13C4[-H+]-	database	L-Xylonate	169.05388	C5H10O6	13C4	13C	6.77	
L-Xylonate-13C5[-H+]-	database	L-Xylonate	170.05723	C5H10O6	13C5	13C	6.79	
Malate-13C0[-H+]-	directly to standard	Malate	133.01425	C4H6O5	13C0	13C	16.5	
Malate-13C1[-H+]-	indirectly to standard	Malate	134.0176	C4H6O5	13C1	13C	16.5	
Malate-13C2[-H+]-	indirectly to standard	Malate	135.02096	C4H6O5	13C2	13C	16.5	
Malate-13C3[-H+]-	indirectly to standard	Malate	136.02431	C4H6O5	13C3	13C	16.5	
Malate-13C4[-H+]-	indirectly to standard	Malate	137.02767	C4H6O5	13C4	13C	16.5	
Mannose 6-phosphate-13C0[-H+]-	directly to standard	Mannose 6-phosphate	259.02244	C6H13O9P	13C0	13C	19.89	
Mannose 6-phosphate-13C1[-H+]-	indirectly to standard	Mannose 6-phosphate	260.02579	C6H13O9P	13C1	13C	19.89	
Mannose 6-phosphate-13C2[-H+]-	indirectly to standard	Mannose 6-phosphate	261.02915	C6H13O9P	13C2	13C	19.89	
Mannose 6-phosphate-13C3[-H+]-	indirectly to standard	Mannose 6-phosphate	262.0325	C6H13O9P	13C3	13C	19.89	
Mannose 6-phosphate-13C4[-H+]-	indirectly to standard	Mannose 6-phosphate	263.03586	C6H13O9P	13C4	13C	19.89	
Mannose 6-phosphate-13C5[-H+]-	indirectly to standard	Mannose 6-phosphate	264.03921	C6H13O9P	13C5	13C	19.76	
Mannose 6-phosphate-13C6[-H+]-	indirectly to standard	Mannose 6-phosphate	265.04257	C6H13O9P	13C6	13C	19.8	
N-Acetylglutamic-13C0[-H+]-	directly to standard	N-Acetylglutamic	188.05645	C7H11N1O5	13C0	13C	14.54	
N-Acetylglutamic-13C1[-H+]-	indirectly to standard	N-Acetylglutamic	189.0598	C7H11N1O5	13C1	13C	14.57	
N-Acetylglutamic-13C2[-H+]-	indirectly to standard	N-Acetylglutamic	190.06316	C7H11N1O5	13C2	13C	14.54	
N-Acetylglutamic-13C3[-H+]-	indirectly to standard	N-Acetylglutamic	191.06651	C7H11N1O5	13C3	13C	14.59	
N-Acetylglutamic-13C4[-H+]-	indirectly to standard	N-Acetylglutamic	192.06987	C7H11N1O5	13C4	13C	14.5	
N-Acetylglutamic-13C5[-H+]-	indirectly to standard	N-Acetylglutamic	193.07322	C7H11N1O5	13C5	13C	14.57	
N-Acetylglutamic-13C6[-H+]-	indirectly to standard	N-Acetylglutamic	194.07658	C7H11N1O5	13C6	13C	14.57	
N-Acetylglutamic-13C7[-H+]-	indirectly to standard	N-Acetylglutamic	195.07993	C7H11N1O5	13C7	13C	14.57	
NADH-13C0[-H+]-	directly to standard	NADH	664.11749	C21H29N7O14P2	13C0	13C	28.4	
NADH-13C1[-H+]-	indirectly to standard	NADH	665.12084	C21H29N7O14P2	13C1	13C	28.38	
NADH-13C1[-H+]-	indirectly to standard	NADH	665.12084	C21H29N7O14P2	13C1	13C	28.4	
NADH-13C10[-H+]-	indirectly to standard	NADH	674.15104	C21H29N7O14P2	13C10	13C	28.42	
NADH-13C11[-H+]-	indirectly to standard	NADH	675.15439	C21H29N7O14P2	13C11	13C	28.4	
NADH-13C2[-H+]-	indirectly to standard	NADH	666.1242	C21H29N7O14P2	13C2	13C	28.4	
NADH-13C4[-H+]-	indirectly to standard	NADH	668.13091	C21H29N7O14P2	13C4	13C	28.4	
NADH-13C5[-H+]-	indirectly to standard	NADH	669.13426	C21H29N7O14P2	13C5	13C	28.38	
NADH-13C6[-H+]-	indirectly to standard	NADH	670.13762	C21H29N7O14P2	13C6	13C	28.4	
NADH-13C7[-H+]-	indirectly to standard	NADH	671.14097	C21H29N7O14P2	13C7	13C	28.4	
NADH-13C8[-H+]-	indirectly to standard	NADH	672.14433	C21H29N7O14P2	13C8	13C	28.4	
NADH-13C9[-H+]-	indirectly to standard	NADH	673.14768	C21H29N7O14P2	13C9	13C	28.4	
Pantothenic acid-13C0[-H+]-	database	Pantothenic acid	218.1034	C9H17N1O5	13C0	13C	7.05	
Pantothenic acid-13C1[-H+]-	database	Pantothenic acid	219.10675	C9H17N1O5	13C1	13C	7.05	
Pantothenic acid-13C2[-H+]-	database	Pantothenic acid	220.11011	C9H17N1O5	13C2	13C	7.05	
PEP-13C0[-H+]-	directly to standard	PEP	166.9751	C3H5O6P	13C0	13C	30.32	
PEP-13C2[-H+]-	indirectly to standard	PEP	168.98181	C3H5O6P	13C2	13C	30.32	
PEP-13C3[-H+]-	indirectly to standard	PEP	169.98516	C3H5O6P	13C3	13C	30.32	
Phosphocreatine-13C0[-H+]-	directly to standard	Phosphocreatine	210.02853	C4H10N3O5P	13C0	13C	12.49	
Phosphocreatine-13C1[-H+]-	indirectly to standard	Phosphocreatine	211.03188	C4H10N3O5P	13C1	13C	12.46	
Phosphoserine-13C0[-H+]-	database	Phosphoserine	184.00165	C3H8N1O6P	13C0	13C	24.99	
Pyroglutamic acid-13C0[-H+]-	directly to standard	Pyroglutamic acid	128.03532	C5H7N1O3	13C0	13C	6.66	
Pyroglutamic acid-13C1[-H+]-	indirectly to standard	Pyroglutamic acid	129.03867	C5H7N1O3	13C1	13C	6.66	
Pyroglutamic acid-13C2[-H+]-	indirectly to standard	Pyroglutamic acid	130.04203	C5H7N1O3	13C2	13C	6.62	
Pyroglutamic acid-13C3[-H+]-	indirectly to standard	Pyroglutamic acid	131.04538	C5H7N1O3	13C3	13C	6.66	
Pyroglutamic acid-13C4[-H+]-	indirectly to standard	Pyroglutamic acid	132.04874	C5H7N1O3	13C4	13C	6.62	
Pyroglutamic acid-13C5[-H+]-	indirectly to standard	Pyroglutamic acid	133.05209	C5H7N1O3	13C5	13C	6.62	
Pyruvate-13C0[-H+]-	directly to standard	Pyruvate	87.00877	C3H4O3	13C0	13C	8.64	
Pyruvate-13C1[-H+]-	indirectly to standard	Pyruvate	88.01212	C3H4O3	13C1	13C	8.64	
Pyruvate-13C2[-H+]-	indirectly to standard	Pyruvate	89.01548	C3H4O3	13C2	13C	8.64	
Pyruvate-13C3[-H+]-	indirectly to standard	Pyruvate	90.01883	C3H4O3	13C3	13C	8.64	
R1P-13C0[-H+]-	directly to standard	R1P	229.01188	C5H11O8P	13C0	13C	14.31	
R1P-13C5[-H+]-	indirectly to standard	R1P	234.02865	C5H11O8P	13C5	13C	14.31	
R5P-13C0[-H+]-	directly to standard	R5P	229.01188	C5H11O8P	13C0	13C	20.43	
R5P-13C1[-H+]-	indirectly to standard	R5P	230.01523	C5H11O8P	13C1	13C	20.43	
R5P-13C2[-H+]-	indirectly to standard	R5P	231.01859	C5H11O8P	13C2	13C	20.43	
R5P-13C3[-H+]-	indirectly to standard	R5P	232.02194	C5H11O8P	13C3	13C	20.43	
R5P-13C4[-H+]-	indirectly to standard	R5P	233.0253	C5H11O8P	13C4	13C	20.43	
R5P-13C5[-H+]-	indirectly to standard	R5P	234.02865	C5H11O8P	13C5	13C	20.43	
S7P-13C0[-H+]-	directly to standard	S7P	289.03301	C7H15O10P	13C0	13C	21.01	
S7P-13C1[-H+]-	indirectly to standard	S7P	290.03636	C7H15O10P	13C1	13C	21.01	
S7P-13C2[-H+]-	indirectly to standard	S7P	291.03972	C7H15O10P	13C2	13C	21.01	
S7P-13C3[-H+]-	indirectly to standard	S7P	292.04307	C7H15O10P	13C3	13C	21.01	
S7P-13C4[-H+]-	indirectly to standard	S7P	293.04643	C7H15O10P	13C4	13C	21.01	
S7P-13C5[-H+]-	indirectly to standard	S7P	294.04978	C7H15O10P	13C5	13C	21.01	
S7P-13C6[-H+]-	indirectly to standard	S7P	295.05314	C7H15O10P	13C6	13C	21.01	
S7P-13C7[-H+]-	indirectly to standard	S7P	296.05649	C7H15O10P	13C7	13C	20.99	
Succinate-13C0[-H+]-	directly to standard	Succinate	117.01933	C4H6O4	13C0	13C	16.39	
Succinate-13C1[-H+]-	indirectly to standard	Succinate	118.02268	C4H6O4	13C1	13C	16.39	
Succinate-13C2[-H+]-	indirectly to standard	Succinate	119.02604	C4H6O4	13C2	13C	16.39	
Succinate-13C3[-H+]-	indirectly to standard	Succinate	120.02939	C4H6O4	13C3	13C	16.41	
Succinate-13C4[-H+]-	indirectly to standard	Succinate	121.03275	C4H6O4	13C4	13C	16.41	
SucroseAndDischarrides-13C0[-H+]-	directly to standard	SucroseAndDischarrides	341.10893	C12H22O11	13C0	13C	2.68	
SucroseAndDischarrides-13C1[-H+]-	indirectly to standard	SucroseAndDischarrides	342.11228	C12H22O11	13C1	13C	2.68	
SucroseAndDischarrides-13C10[-H+]-	indirectly to standard	SucroseAndDischarrides	351.14248	C12H22O11	13C10	13C	2.68	
SucroseAndDischarrides-13C11[-H+]-	indirectly to standard	SucroseAndDischarrides	352.14583	C12H22O11	13C11	13C	2.68	
SucroseAndDischarrides-13C12[-H+]-	indirectly to standard	SucroseAndDischarrides	353.14919	C12H22O11	13C12	13C	2.68	
SucroseAndDischarrides-13C6[-H+]-	indirectly to standard	SucroseAndDischarrides	347.12906	C12H22O11	13C6	13C	2.68	
SucroseAndDischarrides-13C9[-H+]-	indirectly to standard	SucroseAndDischarrides	350.13912	C12H22O11	13C9	13C	2.68	
Taurine-13C0[-H+]-	database	Taurine	124.00739	C2H7N1O3S	13C0	13C	7.12	
Taurine-13C1[-H+]-	database	Taurine	125.01074	C2H7N1O3S	13C1	13C	7.14	
UDP-13C0[-H+]-	directly to standard	UDP	402.99492	C9H14N2O12P2	13C0	13C	37.12	
UDP-13C0[-H+]-	directly to standard	UDP	402.99492	C9H14N2O12P2	13C0	13C	2.68	
UDP-13C1[-H+]-	indirectly to standard	UDP	403.99827	C9H14N2O12P2	13C1	13C	37.12	
UDP-13C1[-H+]-	indirectly to standard	UDP	403.99827	C9H14N2O12P2	13C1	13C	37.16	
UDP-13C1[-H+]-	indirectly to standard	UDP	403.99827	C9H14N2O12P2	13C1	13C	2.68	
UDP-13C5[-H+]-	indirectly to standard	UDP	408.01169	C9H14N2O12P2	13C5	13C	37.16	
UDP-13C6[-H+]-	indirectly to standard	UDP	409.01505	C9H14N2O12P2	13C6	13C	37.16	
UDP-13C7[-H+]-	indirectly to standard	UDP	410.0184	C9H14N2O12P2	13C7	13C	37.16	
UDP-13C8[-H+]-	indirectly to standard	UDP	411.02176	C9H14N2O12P2	13C8	13C	37.16	
UDP-N-acetyl-alpha-D-galactosamine-13C0[-H+]-	directly to standard	UDP-N-acetyl-alpha-D-galactosamine	606.07429	C17H27N3O17P2	13C0	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C1[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	607.07764	C17H27N3O17P2	13C1	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C10[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	616.10784	C17H27N3O17P2	13C10	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C11[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	617.11119	C17H27N3O17P2	13C11	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C12[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	618.11455	C17H27N3O17P2	13C12	13C	29.29	
UDP-N-acetyl-alpha-D-galactosamine-13C13[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	619.1179	C17H27N3O17P2	13C13	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C14[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	620.12126	C17H27N3O17P2	13C14	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C15[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	621.12461	C17H27N3O17P2	13C15	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C16[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	622.12797	C17H27N3O17P2	13C16	13C	29.31	
UDP-N-acetyl-alpha-D-galactosamine-13C2[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	608.081	C17H27N3O17P2	13C2	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C3[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	609.08435	C17H27N3O17P2	13C3	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C4[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	610.08771	C17H27N3O17P2	13C4	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C5[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	611.09106	C17H27N3O17P2	13C5	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C6[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	612.09442	C17H27N3O17P2	13C6	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C7[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	613.09777	C17H27N3O17P2	13C7	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C8[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	614.10113	C17H27N3O17P2	13C8	13C	29.37	
UDP-N-acetyl-alpha-D-galactosamine-13C9[-H+]-	indirectly to standard	UDP-N-acetyl-alpha-D-galactosamine	615.10448	C17H27N3O17P2	13C9	13C	29.31	
UMP-13C0[-H+]-	directly to standard	UMP	323.02859	C9H13N2O9P	13C0	13C	31.01	
UMP-13C1[-H+]-	indirectly to standard	UMP	324.03194	C9H13N2O9P	13C1	13C	30.99	
UMP-13C2[-H+]-	indirectly to standard	UMP	325.0353	C9H13N2O9P	13C2	13C	30.99	
UMP-13C3[-H+]-	indirectly to standard	UMP	326.03865	C9H13N2O9P	13C3	13C	30.99	
UMP-13C4[-H+]-	indirectly to standard	UMP	327.04201	C9H13N2O9P	13C4	13C	30.95	
UMP-13C5[-H+]-	indirectly to standard	UMP	328.04536	C9H13N2O9P	13C5	13C	30.97	
UMP-13C6[-H+]-	indirectly to standard	UMP	329.04872	C9H13N2O9P	13C6	13C	30.99	
UMP-13C7[-H+]-	indirectly to standard	UMP	330.05207	C9H13N2O9P	13C7	13C	30.97	
UMP-13C8[-H+]-	indirectly to standard	UMP	331.05543	C9H13N2O9P	13C8	13C	31.01	
UMP-13C9[-H+]-	indirectly to standard	UMP	332.05878	C9H13N2O9P	13C9	13C	31.01	
Uracil-13C0[-H+]-	directly to standard	Uracil	111.02	C4H4N2O2	13C0	13C	29.33	
Uracil-13C1[-H+]-	indirectly to standard	Uracil	112.02335	C4H4N2O2	13C1	13C	29.33	
Uracil-13C2[-H+]-	indirectly to standard	Uracil	113.02671	C4H4N2O2	13C2	13C	29.33	
Uracil-13C3[-H+]-	indirectly to standard	Uracil	114.03006	C4H4N2O2	13C3	13C	29.33	
Uric acid-13C0[-H+]-	database	Uric acid	167.02106	C5H4N4O3	13C0	13C	28.94	
Uric acid-13C1[-H+]-	database	Uric acid	168.02441	C5H4N4O3	13C1	13C	28.94	
Uridine diphosphate-N-acetylglucosamine-13C0[-H+]-	directly to standard	Uridine diphosphate-N-acetylglucosamine	606.07429	C17H27N3O17P2	13C0	13C	28.92	
Uridine diphosphate-N-acetylglucosamine-13C1[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	607.07764	C17H27N3O17P2	13C1	13C	28.92	
Uridine diphosphate-N-acetylglucosamine-13C10[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	616.10784	C17H27N3O17P2	13C10	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C11[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	617.11119	C17H27N3O17P2	13C11	13C	28.83	
Uridine diphosphate-N-acetylglucosamine-13C12[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	618.11455	C17H27N3O17P2	13C12	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C13[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	619.1179	C17H27N3O17P2	13C13	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C14[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	620.12126	C17H27N3O17P2	13C14	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C15[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	621.12461	C17H27N3O17P2	13C15	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C16[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	622.12797	C17H27N3O17P2	13C16	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C2[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	608.081	C17H27N3O17P2	13C2	13C	28.92	
Uridine diphosphate-N-acetylglucosamine-13C3[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	609.08435	C17H27N3O17P2	13C3	13C	28.92	
Uridine diphosphate-N-acetylglucosamine-13C4[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	610.08771	C17H27N3O17P2	13C4	13C	28.92	
Uridine diphosphate-N-acetylglucosamine-13C5[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	611.09106	C17H27N3O17P2	13C5	13C	28.96	
Uridine diphosphate-N-acetylglucosamine-13C6[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	612.09442	C17H27N3O17P2	13C6	13C	28.88	
Uridine diphosphate-N-acetylglucosamine-13C7[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	613.09777	C17H27N3O17P2	13C7	13C	28.88	
Uridine diphosphate-N-acetylglucosamine-13C8[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	614.10113	C17H27N3O17P2	13C8	13C	28.9	
Uridine diphosphate-N-acetylglucosamine-13C9[-H+]-	indirectly to standard	Uridine diphosphate-N-acetylglucosamine	615.10448	C17H27N3O17P2	13C9	13C	28.9	
UTP-13C0[-H+]-	directly to standard	UTP	482.96125	C9H15N2O15P3	13C0	13C	40.78	
UTP-13C1[-H+]-	indirectly to standard	UTP	483.9646	C9H15N2O15P3	13C1	13C	40.78	
UTP-13C2[-H+]-	indirectly to standard	UTP	484.96796	C9H15N2O15P3	13C2	13C	40.78	
UTP-13C4[-H+]-	indirectly to standard	UTP	486.97467	C9H15N2O15P3	13C4	13C	40.78	
UTP-13C5[-H+]-	indirectly to standard	UTP	487.97802	C9H15N2O15P3	13C5	13C	40.78	
UTP-13C6[-H+]-	indirectly to standard	UTP	488.98138	C9H15N2O15P3	13C6	13C	40.78	
UTP-13C7[-H+]-	indirectly to standard	UTP	489.98473	C9H15N2O15P3	13C7	13C	40.78	
UTP-13C8[-H+]-	indirectly to standard	UTP	490.98809	C9H15N2O15P3	13C8	13C	40.78	
XMP-13C0[-H+]-	database	XMP	363.03474	C10H13N4O9P	13C0	13C	35.37	
XMP-13C1[-H+]-	database	XMP	364.03809	C10H13N4O9P	13C1	13C	35.43	
XMP-13C3[-H+]-	database	XMP	366.0448	C10H13N4O9P	13C3	13C	35.43	
