"Sample Name"	"Protocol REF"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"2058588"	"Extraction"	"7"	""	""	"483"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_095"	"VT_140605_095.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033035"	"Extraction"	"7"	""	""	"484"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_097"	"VT_140605_097.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033035"	"Extraction"	"7"	""	""	"485"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_099"	"VT_140605_099.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2033035"	"Extraction"	"7"	""	""	"486"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_101"	"VT_140605_101.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999129"	"Extraction"	"7"	""	""	"487"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_103"	"VT_140605_103.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999129"	"Extraction"	"7"	""	""	"488"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_105"	"VT_140605_105.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999129"	"Extraction"	"7"	""	""	"489"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_107"	"VT_140605_107.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995922"	"Extraction"	"7"	""	""	"490"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_109"	"VT_140605_109.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995922"	"Extraction"	"7"	""	""	"491"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_111"	"VT_140605_111.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1995922"	"Extraction"	"7"	""	""	"492"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_113"	"VT_140605_113.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993031"	"Extraction"	"7"	""	""	"493"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_115"	"VT_140605_115.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993031"	"Extraction"	"7"	""	""	"494"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_117"	"VT_140605_117.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993031"	"Extraction"	"7"	""	""	"495"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_119"	"VT_140605_119.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1990916"	"Extraction"	"7"	""	""	"496"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_121"	"VT_140605_121.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1990916"	"Extraction"	"7"	""	""	"497"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_123"	"VT_140605_123.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1990916"	"Extraction"	"7"	""	""	"498"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_125"	"VT_140605_125.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1988250"	"Extraction"	"7"	""	""	"499"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_127"	"VT_140605_127.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1988250"	"Extraction"	"7"	""	""	"500"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_129"	"VT_140605_129.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1988250"	"Extraction"	"7"	""	""	"501"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_131"	"VT_140605_131.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189053"	"Extraction"	"7"	""	""	"502"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_133"	"VT_140605_133.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189053"	"Extraction"	"7"	""	""	"503"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_135"	"VT_140605_135.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189053"	"Extraction"	"7"	""	""	"504"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_137"	"VT_140605_137.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"7"	""	""	"505"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_139"	"VT_140605_139.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"7"	""	""	"506"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_141"	"VT_140605_141.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"7"	""	""	"507"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140605_143"	"VT_140605_143.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"8"	""	""	"508"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_001"	"VT_140606_001.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"8"	""	""	"509"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_003"	"VT_140606_003.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"Extraction"	"8"	""	""	"510"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_005"	"VT_140606_005.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189054"	"Extraction"	"8"	""	""	"511"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_007"	"VT_140606_007.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189054"	"Extraction"	"8"	""	""	"512"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_009"	"VT_140606_009.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2189054"	"Extraction"	"8"	""	""	"513"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_011"	"VT_140606_011.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2003626"	"Extraction"	"8"	""	""	"514"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_013"	"VT_140606_013.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2003626"	"Extraction"	"8"	""	""	"515"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_015"	"VT_140606_015.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2003626"	"Extraction"	"8"	""	""	"516"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_017"	"VT_140606_017.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975125"	"Extraction"	"8"	""	""	"517"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_019"	"VT_140606_019.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975125"	"Extraction"	"8"	""	""	"518"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_021"	"VT_140606_021.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1975125"	"Extraction"	"8"	""	""	"519"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_023"	"VT_140606_023.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981038"	"Extraction"	"8"	""	""	"520"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_025"	"VT_140606_025.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981038"	"Extraction"	"8"	""	""	"521"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_027"	"VT_140606_027.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1981038"	"Extraction"	"8"	""	""	"522"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_029"	"VT_140606_029.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1985068"	"Extraction"	"8"	""	""	"523"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_031"	"VT_140606_031.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1985068"	"Extraction"	"8"	""	""	"524"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_033"	"VT_140606_033.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1985068"	"Extraction"	"8"	""	""	"525"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_035"	"VT_140606_035.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1986952"	"Extraction"	"8"	""	""	"526"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_037"	"VT_140606_037.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1986952"	"Extraction"	"8"	""	""	"527"	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140606_039"	"VT_140606_039.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pos_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
