"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BRB13N"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB13N"	"BRB13N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB13N 6 POS BOTTOM - 2014-08-14 18.34.41.ndpi"	""	""	"BRB13N.tif"	""	""	"Data transformation"	""	"BRB13N.imzML"	"Metabolite identification"	""	""
"BRB13S"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB13S"	"BRB13S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB13S 5 NEG MIDDLE - 2014-08-14 17.13.09.ndpi"	""	""	"BRB13S.tif"	""	""	"Data transformation"	""	"BRB13S.imzML"	"Metabolite identification"	""	""
"BRB13W"	"Preparation"	"Thermo Scientific FB58628 Fisherbrand Glass slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB13W"	"BRB13W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB13WZ 4 NEG BOTTOM - 2014-08-14 17.16.37.ndpi"	""	""	"BRB13W.tif"	""	""	"Data transformation"	""	"BRB13W.imzML"	"Metabolite identification"	""	""
"BRB14D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB14D"	"BRB14D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB14D 4 NEG TOP - 2014-08-14 03.58.56.ndpi"	""	""	"BRB14D.tif"	""	""	"Data transformation"	""	"BRB14D.imzML"	"Metabolite identification"	""	""
"BRB14E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB14E"	"BRB14E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB14E 3 NEG TOP - 2014-08-14 03.47.42.ndpi"	""	""	"BRB14E.tif"	""	""	"Data transformation"	""	"BRB14E.imzML"	"Metabolite identification"	""	""
"BRB14N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB14N"	"BRB14N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB14N 2 NEG BOTTOM - 2014-08-14 03.55.04.ndpi"	""	""	"BRB14N.tif"	""	""	"Data transformation"	""	"BRB14N.imzML"	"Metabolite identification"	""	""
"BRB14S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB14S"	"BRB14S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB14S 5 NEG TOP - 2014-08-14 03.51.29.ndpi"	""	""	"BRB14S.tif"	""	""	"Data transformation"	""	"BRB14S.imzML"	"Metabolite identification"	""	""
"BRB14W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB14W"	"BRB14W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB14W 4 NEG TOP - 2014-08-14 03.04.53.ndpi"	""	""	"BRB14W.tif"	""	""	"Data transformation"	""	"BRB14W.imzML"	"Metabolite identification"	""	""
"BRB15D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB15D"	"BRB15D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB15D 5 NEG TOP - 2014-08-13 18.58.57.ndpi"	""	""	"BRB15D.tif"	""	""	"Data transformation"	""	"BRB15D.imzML"	"Metabolite identification"	""	""
"BRB15E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB15E"	"BRB15E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB15E 2 NEG BOTTOM - 2014-08-14 03.41.39.ndpi"	""	""	"BRB15E.tif"	""	""	"Data transformation"	""	"BRB15E.imzML"	"Metabolite identification"	""	""
"BRB15N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB15N"	"BRB15N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB15N 6 NEG TOP - 2014-08-14 03.16.10.ndpi"	""	""	"BRB15N.tif"	""	""	"Data transformation"	""	"BRB15N.imzML"	"Metabolite identification"	""	""
"BRB15S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB15S"	"BRB15S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB15S 4 NEG TOP - 2014-08-14 03.08.21.ndpi"	""	""	"BRB15S.tif"	""	""	"Data transformation"	""	"BRB15S.imzML"	"Metabolite identification"	""	""
"BRB15W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB15W"	"BRB15W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB15W 3 NEG BOTTOM - 2014-08-14 03.37.04.ndpi"	""	""	"BRB15W.tif"	""	""	"Data transformation"	""	"BRB15W.imzML"	"Metabolite identification"	""	""
"BRB16D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB16D"	"BRB16D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB16D 4 NEG BOTTOM - 2014-08-13 18.56.05.ndpi"	""	""	"BRB16D.tif"	""	""	"Data transformation"	""	"BRB16D.imzML"	"Metabolite identification"	""	""
"BRB16E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB16E"	"BRB16E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB16E 3 NEG BOTTOM - 2014-08-13 19.05.54.ndpi"	""	""	"BRB16E.tif"	""	""	"Data transformation"	""	"BRB16E.imzML"	"Metabolite identification"	""	""
"BRB16N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB16N"	"BRB16N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB16N 4 NEG BOTTOM - 2014-08-13 19.01.41.ndpi"	""	""	"BRB16N.tif"	""	""	"Data transformation"	""	"BRB16N.imzML"	"Metabolite identification"	""	""
"BRB16S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB16S"	"BRB16S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB16S 5 NEG BOTTOM - 2014-08-13 19.56.05.ndpi"	""	""	"BRB16S.tif"	""	""	"Data transformation"	""	"BRB16S.imzML"	"Metabolite identification"	""	""
"BRB16W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB16W"	"BRB16W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB16W 2 NEG BOTTOM - 2014-08-13 19.48.40.ndpi"	""	""	"BRB16W.tif"	""	""	"Data transformation"	""	"BRB16W.imzML"	"Metabolite identification"	""	""
"BRB17D"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB17D"	"BRB17D.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB17D 5 NEG BOTTOM - 2014-08-13 19.52.47.ndpi"	""	""	"BRB17D.tif"	""	""	"Data transformation"	""	"BRB17D.imzML"	"Metabolite identification"	""	""
"BRB17E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB17E"	"BRB17E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB17E 3 NEG BOTTOM - 2014-08-13 19.59.42.ndpi"	""	""	"BRB17E.tif"	""	""	"Data transformation"	""	"BRB17E.imzML"	"Metabolite identification"	""	""
"BRB17N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB17N"	"BRB17N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB17N 4 NEG BOTTOM - 2014-08-13 20.02.46.ndpi"	""	""	"BRB17N.tif"	""	""	"Data transformation"	""	"BRB17N.imzML"	"Metabolite identification"	""	""
"BRB17S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB17S"	"BRB17S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB17S 3 NEG BOTTOM - 2014-08-13 20.35.37.ndpi"	""	""	"BRB17S.tif"	""	""	"Data transformation"	""	"BRB17S.imzML"	"Metabolite identification"	""	""
"BRB17W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB17W"	"BRB17W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB17W 4 NEG BOTTOM - 2014-08-13 20.32.26.ndpi"	""	""	"BRB17W.tif"	""	""	"Data transformation"	""	"BRB17W.imzML"	"Metabolite identification"	""	""
"BRB18C"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB18C"	"BRB18C.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB18C 6 NEG TOP - 2014-08-14 09.24.28.ndpi"	""	""	"BRB18C.tif"	""	""	"Data transformation"	""	"BRB18C.imzML"	"Metabolite identification"	""	""
"BRB18E"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB18E"	"BRB18E.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB18E 2 NEG TOP - 2014-08-13 19.29.41.ndpi"	""	""	"BRB18E.tif"	""	""	"Data transformation"	""	"BRB18E.imzML"	"Metabolite identification"	""	""
"BRB18N"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB18N"	"BRB18N.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB18N 5 NEG BOTTOM - 2014-08-13 19.13.45.ndpi"	""	""	"BRB18N.tif"	""	""	"Data transformation"	""	"BRB18N.imzML"	"Metabolite identification"	""	""
"BRB18S"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB18S"	"BRB18S.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB18S 3 NEG BOTTOM - 2014-08-13 19.10.16.ndpi"	""	""	"BRB18S.tif"	""	""	"Data transformation"	""	"BRB18S.imzML"	"Metabolite identification"	""	""
"BRB18W"	"Preparation"	"Thermo Scientific X72 SuperFrost Plus Adhesion slide"	""	""	"Flash frozen"	""	""	""	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"200-1000"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionisation"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"BRB18W"	"BRB18W.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"SABINE BRB18W 6 NEG BOTTOM - 2014-08-14 03.33.07.ndpi"	""	""	"BRB18W.tif"	""	""	"Data transformation"	""	"BRB18W.imzML"	"Metabolite identification"	""	""
